RMSE,filter
{rmse_x:0.0946037   rmse_Y:0.0998018  rmse_vx:0.744098  rmse_vY:0.575629  },1
{rmse_x:0.0947092   rmse_Y:0.100177  rmse_vx:0.741975  rmse_vY:0.573382  },1
{rmse_x:0.0946989   rmse_Y:0.100968  rmse_vx:0.739059  rmse_vY:0.57223  },1
{rmse_x:0.0943266   rmse_Y:0.100834  rmse_vx:0.736098  rmse_vY:0.569957  },1
{rmse_x:0.0939943   rmse_Y:0.100644  rmse_vx:0.733473  rmse_vY:0.567844  },1
{rmse_x:0.0937295   rmse_Y:0.100295  rmse_vx:0.73065  rmse_vY:0.566348  },1
{rmse_x:0.0934706   rmse_Y:0.0999534  rmse_vx:0.727925  rmse_vY:0.564836  },1
{rmse_x:0.0931102   rmse_Y:0.0995946  rmse_vx:0.725703  rmse_vY:0.563588  },1
{rmse_x:0.0927643   rmse_Y:0.0994007  rmse_vx:0.723023  rmse_vY:0.561442  },1
{rmse_x:0.0924656   rmse_Y:0.0994852  rmse_vx:0.720972  rmse_vY:0.559303  },1
{rmse_x:0.092375   rmse_Y:0.0996311  rmse_vx:0.719206  rmse_vY:0.557181  },1
{rmse_x:0.0920974   rmse_Y:0.0994445  rmse_vx:0.717173  rmse_vY:0.555389  },1
{rmse_x:0.0918418   rmse_Y:0.0995089  rmse_vx:0.714874  rmse_vY:0.553314  },1
{rmse_x:0.0917244   rmse_Y:0.0997014  rmse_vx:0.713024  rmse_vY:0.551294  },1
{rmse_x:0.0917266   rmse_Y:0.0997981  rmse_vx:0.711151  rmse_vY:0.549314  },1
{rmse_x:0.0915267   rmse_Y:0.100003  rmse_vx:0.709168  rmse_vY:0.547491  },1
{rmse_x:0.0913316   rmse_Y:0.100143  rmse_vx:0.706898  rmse_vY:0.545574  },1
{rmse_x:0.0910068   rmse_Y:0.0999284  rmse_vx:0.70447  rmse_vY:0.544338  },1
{rmse_x:0.0906825   rmse_Y:0.100118  rmse_vx:0.701957  rmse_vY:0.542424  },1
{rmse_x:0.090366   rmse_Y:0.100053  rmse_vx:0.699491  rmse_vY:0.540883  },1
{rmse_x:0.0900473   rmse_Y:0.100003  rmse_vx:0.697169  rmse_vY:0.539641  },1
{rmse_x:0.0897641   rmse_Y:0.0996819  rmse_vx:0.694796  rmse_vY:0.539661  },1
{rmse_x:0.0895281   rmse_Y:0.0993377  rmse_vx:0.692381  rmse_vY:0.53966  },1
{rmse_x:0.0892205   rmse_Y:0.0990425  rmse_vx:0.690166  rmse_vY:0.540383  },1
{rmse_x:0.088917   rmse_Y:0.0987137  rmse_vx:0.687816  rmse_vY:0.539746  },1
{rmse_x:0.0886158   rmse_Y:0.0984669  rmse_vx:0.685559  rmse_vY:0.539954  },1
{rmse_x:0.0883233   rmse_Y:0.0982293  rmse_vx:0.683242  rmse_vY:0.539203  },1
